oltra_id,oltra_hotelid,oltra_hotel_name,oltra_city,oltra_country,agoda_hotel_id,agoda_search_phrase,agoda_hotel_name,agoda_city,agoda_country,agoda_photo1,agoda_photo2,agoda_photo3,agoda_photo4,agoda_photo5,toolkit_html_or_image_url,notes
1713,,The Biltmore,Miami,USA,10914253,"Biltmore Hotel, Miami (FL), United States",Biltmore Hotel,Miami (FL),United States,http://pix5.agoda.net/hotelimages/15963067/0/dc24577ef409469fcd62b3e35d457ee0.jpg?s=312x&ca=12&ce=1,http://pix4.agoda.net/hotelimages/15963067/0/29fc98a81402efdd037c62a73d17a8a4.jpg?s=312x&ca=12&ce=1,http://pix3.agoda.net/hotelimages/15963067/0/9e87e19468d21feb41743d4e107b813c.jpg?s=312x&ca=12&ce=1,http://pix5.agoda.net/hotelimages/15963067/0/df46894afe5a85d0a569e3e9718a7fc9.jpg?s=312x&ca=12&ce=1,http://pix1.agoda.net/hotelimages/15963067/0/c41551ebd7eb570caf1aa9fe30f316a8.jpg?s=312x&ca=12&ce=1,,
1714,,The Boca Raton,Boca Raton,USA,,,,,,,,,,,,
1715,,The Breakers,Palm Beach,USA,,,,,,,,,,,,
1716,,The Broadmoor,Colorado Springs,USA,10914128,"The Broadmoor, Colorado Springs (CO), United States",The Broadmoor,Colorado Springs (CO),United States,http://pix3.agoda.net/hotelimages/10914128/0/ce2006ef7b203864016d7ed1e8d6a581.jpg?s=312x&ca=20&ce=0,http://pix3.agoda.net/hotelimages/8787315/0/a49287fe217befc66e151c82ee15164e.jpg?s=312x&ca=9&ce=1,http://pix3.agoda.net/hotelimages/8787315/0/9cb31e559a303308afd826024447754b.jpg?s=312x&ca=9&ce=1,http://pix5.agoda.net/hotelimages/8787315/0/5b4f0cc50a1a87f3d500ea0a307e44da.jpg?s=312x&ca=9&ce=1,http://pix4.agoda.net/hotelimages/10914128/0/bdc150e6ff83af33d5db6567e5317eff.jpg?s=312x&ca=20&ce=0,,
1717,,The Carlyle,New York,USA,2457342,"Carlyle Hotel, San Jose (CA), United States",Carlyle Hotel,San Jose (CA),United States,http://pix4.agoda.net/hotelimages/2457342/0/f290e8fed8b3d41de16d1dbfa27e0e40.jpg?s=312x&ca=0&ce=1,http://pix2.agoda.net/hotelimages/2457342/0/7a25bdf0127d991b5d3c2c685730d1e7.jpg?s=312x&ca=0&ce=1,http://pix1.agoda.net/hotelimages/2457342/0/13f622b2b841cd235a3a4ecfaeb9dcd0.jpg?s=312x&ca=0&ce=1,http://pix4.agoda.net/hotelimages/2457342/0/55d07544520f89891dc91b15d1f76255.jpg?s=312x&ca=0&ce=1,http://pix4.agoda.net/hotelimages/2457342/0/a295efcc051513f24ba7b2fc8fbd532f.jpg?s=312x&ca=0&ce=1,,
1718,,The Chatwal,New York,USA,60511067,"The Chatwal Lodge, Cochecton, United States",The Chatwal Lodge,Cochecton,United States,,,,,,,
1719,,The Cloister at Sea Island,Sea Island,USA,,,,,,,,,,,,
1720,,The Dominick,New York,USA,212226,"The Dominick Hotel, New York (NY), United States",The Dominick Hotel,New York (NY),United States,http://pix5.agoda.net/hotelimages/212226/-1/e10c3182fd0d03c794b5ae10522d4727.jpg?s=312x&ce=0,http://pix4.agoda.net/hotelimages/212/212226/212226_120712224716762.png?s=312x&ca=13&ce=1,http://pix4.agoda.net/hotelimages/8787342/0/921b9de1297b1ea570c2b5c21076d391.jpg?s=312x&ca=9&ce=1,http://pix1.agoda.net/hotelimages/8787342/0/52f9b90d2229befe8603e59356b8f10d.jpg?s=312x&ca=9&ce=1,http://pix1.agoda.net/hotelimages/8787342/0/84ba29a4c0ccef9212c233edba22e27b.jpg?s=312x&ca=9&ce=1,,
1721,,The Fifth Avenue Hotel,New York,USA,45532081,"The Fifth Avenue Hotel, New York (NY), United States",The Fifth Avenue Hotel,New York (NY),United States,http://q-xx.bstatic.com/xdata/images/hotel/840x460/505466999.jpg?k=a45bdf486895dccc43c2c870a481b72877833b239e80b7aa64964dbb998d7fbc&o=,,,,,,
1722,,The Green-O,Greenough,USA,,,,,,,,,,,,
1723,,The Greenwich Hotel,New York,USA,6950574,"The Greenwich Hotel, New York (NY), United States",The Greenwich Hotel,New York (NY),United States,http://pix5.agoda.net/hotelimages/6950574/0/329299f4d528efdd99627ea18f1dec9a.jpg?s=312x&ca=20&ce=0,http://pix5.agoda.net/hotelimages/6795515/0/4ff5b17bdb166dd438d06103003f550a.jpg?s=312x&ca=23&ce=0,http://pix2.agoda.net/hotelimages/6795515/0/68b574f9672cdb4138ba660850cd25be.jpg?s=312x&ca=23&ce=0,http://pix1.agoda.net/hotelimages/6795515/0/50b86c610a0ea4b3781037b1a054eaf6.jpg?s=312x&ca=23&ce=0,http://pix5.agoda.net/hotelimages/6795515/0/58d38fbedfeb4334fb0679f282fb3c61.jpg?s=312x&ca=23&ce=0,,
1724,,The Hay-Adams,Washington D.C.,USA,166720,"The Hay - Adams, Washington D.C., United States",The Hay - Adams,Washington D.C.,United States,http://pix5.agoda.net/hotelimages/166/166720/166720_1112091626004920483.jpg?s=312x&ca=0&ce=1,http://pix4.agoda.net/hotelimages/166/166720/166720_1112091626004920482.jpg?s=312x&ca=0&ce=1,http://pix5.agoda.net/hotelimages/166/166720/166720_1112091626004920484.jpg?s=312x&ca=0&ce=1,http://pix2.agoda.net/hotelimages/166/166720/166720_1112091626004920485.jpg?s=312x&ca=0&ce=1,http://pix4.agoda.net/hotelimages/166/166720/166720_1112091626004920486.jpg?s=312x&ca=0&ce=1,,
1725,,The Inn at Little Washington,Washington,USA,,,,,,,,,,,,
1726,,The Inn at Mattei's Tavern,Los Olivos,USA,54470828,"The Inn at Mattei s Tavern, Auberge Collection, Los Olivos, United States","The Inn at Mattei s Tavern, Auberge Collection",Los Olivos,United States,,,,,,,
1727,,The Langham Boston,Boston,USA,2449289,"The Langham Boston, Boston (MA), United States",The Langham Boston,Boston (MA),United States,http://pix1.agoda.net/hotelimages/6796784/0/38c008b69dd38d8ed369732120e055b1.jpeg?s=312x&ce=3,http://pix2.agoda.net/hotelimages/6796784/0/969c74f7dfd58d8e336205119140d85f.jpg?s=312x&ca=24&ce=0,http://pix4.agoda.net/hotelimages/6796784/0/91e0b9ee15f02d98b1aea88473e2228c.jpeg?s=312x&ce=3,http://pix5.agoda.net/hotelimages/6796784/0/df13ed62497dec075ae7263b2d78bf4f.jpeg?s=312x&ce=3,http://pix5.agoda.net/hotelimages/6796784/0/ba745be84811e725792618c69258ac5d.jpeg?s=312x&ce=3,,
1728,,The Langham Chicago,Chicago,USA,480815,"The Langham, Chicago Hotel, Chicago (IL), United States","The Langham, Chicago Hotel",Chicago (IL),United States,http://pix1.agoda.net/hotelimages/480/480815/480815_14061200250019801446.jpg?s=312x&ca=2&ce=1,http://pix2.agoda.net/hotelimages/480815/0/608ca715a6a81b4a0cce40b9e9968f4c.jpg?s=312x&ca=20&ce=0,http://pix1.agoda.net/hotelimages/6578106/0/66cb9a4aa6fd17c2bc4a81eefd1c4e35.jpeg?s=312x&ce=3,http://pix5.agoda.net/hotelimages/6578106/0/e4b55c9d7af2c8081c8ebfb25d82e92c.jpeg?s=312x&ce=3,http://pix4.agoda.net/hotelimages/6578106/0/44e6d6d4846376044e6d64351f1631af.jpeg?s=312x&ce=3,,
1729,,The Langham New York,New York,USA,211906,"The Langham- New York- Fifth Avenue, New York (NY), United States",The Langham- New York- Fifth Avenue,New York (NY),United States,http://pix3.agoda.net/hotelimages/211/211906/211906_15112504040038003609.jpg?s=312x&ca=6&ce=1,http://pix5.agoda.net/hotelimages/211/211906/211906_15112504190038003680.jpg?s=312x&ca=6&ce=1,http://pix2.agoda.net/hotelimages/211/211906/211906_15112504190038003688.jpg?s=312x&ca=6&ce=1,http://pix3.agoda.net/hotelimages/211906/0/37fb44b9ba8f7fc9440d88977055f801.jpg?s=312x&ca=0&ce=1,http://pix5.agoda.net/hotelimages/211906/0/86bf8618937f099d92c0e66512715c11.jpg?s=312x&ca=0&ce=1,,
1730,,The Liberty Hotel,Boston,USA,,,,,,,,,,,,
1731,,The Little Nell,Aspen,USA,211804,"The Little Nell, Aspen (CO), United States",The Little Nell,Aspen (CO),United States,http://pix2.agoda.net/hotelimages/211/211804/211804_13041108030011776819.jpg?s=312x&ca=0&ce=1,http://pix1.agoda.net/hotelimages/211/211804/211804_13041802160011922049.jpg?s=312x&ca=0&ce=1,http://pix4.agoda.net/hotelimages/211/211804/211804_13041108030011776820.jpg?s=312x&ca=0&ce=1,http://pix5.agoda.net/hotelimages/211/211804/211804_13041108030011776821.jpg?s=312x&ca=0&ce=1,http://pix3.agoda.net/hotelimages/211/211804/211804_13041108030011776822.jpg?s=312x&ca=0&ce=1,,
1732,,The Lodge at Blue Sky,Wanship,USA,62079167,"The Lodge at Blue Sky, Auberge Collection, Silver Summit (UT), United States","The Lodge at Blue Sky, Auberge Collection",Silver Summit (UT),United States,,,,,,,
1733,,The Lodge at Torrey Pines,La Jolla,USA,2465720,"The Lodge at Torrey Pines, San Diego (CA), United States",The Lodge at Torrey Pines,San Diego (CA),United States,http://pix3.agoda.net/hotelimages/2465720/0/d895801abddbbda8f6777aec31afea7c.jpg?s=312x&ca=0&ce=1,http://pix4.agoda.net/hotelimages/2465720/1074887292/f39bc8a30c6fcc1c2ed8ceb0ce478841.jpg?s=312x&ce=0,http://pix1.agoda.net/hotelimages/2465720/0/77752d197dd8c053faff8e667fed67e3.jpg?s=312x&ca=0&ce=1,http://pix2.agoda.net/hotelimages/2465720/0/10c746b6d70abd68c87925087ddcc38b.jpg?s=312x&ca=0&ce=1,http://pix3.agoda.net/hotelimages/2465720/0/742f56034d2b1d8cfbc75aa32bd4ec1c.jpg?s=312x&ca=0&ce=1,,
1734,,The Mark,New York,USA,211821,"The Mark Hotel, New York (NY), United States",The Mark Hotel,New York (NY),United States,http://pix4.agoda.net/hotelimages/211/211821/211821_15071800490032545994.jpg?s=312x&ca=4&ce=1,http://pix3.agoda.net/hotelimages/211/211821/211821_15071801140032546130.jpg?s=312x&ca=13&ce=1,http://pix3.agoda.net/hotelimages/211/211821/211821_15071800490032545995.jpg?s=312x&ca=4&ce=1,http://pix5.agoda.net/hotelimages/211/211821/211821_15071800490032545996.jpg?s=312x&ca=4&ce=1,http://pix1.agoda.net/hotelimages/211/211821/211821_15071800490032545997.jpg?s=312x&ca=4&ce=1,,
1735,,The Miami Beach Edition,Miami Beach,USA,2456466,"The Miami Beach EDITION, Miami Beach (FL), United States",The Miami Beach EDITION,Miami Beach (FL),United States,http://pix4.agoda.net/hotelimages/2456466/0/fab1ff0dcbb0dd63cdfbf4235dfba4f1.jpg?s=312x&ca=7&ce=1,http://pix3.agoda.net/hotelimages/5485896/81217175/f66687c42b7fc7d71088d4908a676b4f.jpeg?s=312x&ce=0,http://pix3.agoda.net/hotelimages/2456466/0/c7acba9ab4956fcc6025f6c1af2b2c32.jpg?s=312x&ca=7&ce=1,http://pix4.agoda.net/hotelimages/2456466/0/14bcc24c906c3cdd4c242b358c16c7c0.jpg?s=312x&ca=7&ce=1,http://pix3.agoda.net/hotelimages/2456466/0/53605ea5781f7b0b81779d59b9bb7ad7.jpg?s=312x&ca=7&ce=1,,
